,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
celkem,56 736,61 984,61 635,64 802,68 410,71 078,69 409,68 546,67 816,67 838,70 920,72 781,74 700,76 480,79 053,81 863,84 637,88 205,92 580
neuvedeno,13 345,13 847,12 119,14 200,15 933,18 570,18 646,16 896,16 317,15 892,18 150,18 783,19 511,20 178,21 055,22 120,23 688,22 394,22 869
bez zaměstnanců,28 302,32 578,34 106,35 053,36 683,36 386,34 883,35 330,35 182,35 071,35 673,36 767,37 521,39 209,40 797,41 934,43 519,43 957,46 161
1 - 5,10 140,10 370,10 451,10 488,10 774,11 256,11 097,11 547,11 465,11 929,11 979,12 109,12 540,12 058,12 054,12 541,12 163,14 345,15 426
6 - 9,1 658,1 744,1 740,1 763,1 731,1 713,1 695,1 634,1 710,1 733,1 819,1 773,1 749,1 727,1 752,1 778,1 746,2 644,2 849
10 - 19,1 558,1 651,1 539,1 594,1 603,1 509,1 456,1 501,1 475,1 531,1 565,1 605,1 595,1 572,1 593,1 636,1 632,2 325,2 553
20 - 24,350,355,328,315,332,330,336,326,346,319,348,326,357,331,344,346,381,511,563
25 - 49,665,694,638,668,660,644,623,637,632,668,665,698,687,679,716,744,729,1 045,1 128
50 - 99,363,375,360,369,355,342,339,345,360,363,380,373,387,379,384,393,402,517,552
100 - 199,188,200,190,186,179,171,174,176,175,177,175,177,183,178,185,192,197,240,254
200 - 249,46,43,38,41,36,42,37,32,31,29,30,30,31,33,32,43,44,58,53
250 - 499,62,63,63,63,65,59,70,69,69,67,74,77,74,67,66,60,59,76,77
500 - 999,40,42,40,43,37,37,35,34,35,40,40,36,39,42,48,47,46,58,59
1000 - 1499,6,8,9,5,7,5,6,6,6,7,10,12,14,14,10,11,13,16,15
1500 - 1999,3,4,3,2,4,2,1,1,1,2,2,3,1,2,5,7,7,3,6
2000 - 2499,2,1,1,3,2,2,1,3,3,2,2,3,3,2,3,3,2,5,5
2500 - 2999,2,3,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1
3000 - 3999,3,3,5,5,3,4,4,5,4,3,2,2,3,2,2,2,3,3,2
4000 - 4999,1,1,1,-,-,1,1,1,2,2,3,4,1,3,3,2,2,2,3
5000 - 9999,1,1,1,2,2,2,3,2,2,2,2,2,3,3,3,3,3,4,4
10000 a více,1,1,1,1,1,1,-,.,.,.,.,.,.,.,.,.,.,-,-
