Věková skupina (roky),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,3 103,3 213,3 397,3 365,3 577,3 847,3 970,4 140,4 423,4 466,4 417,4 338,4 344,4 276,4 397,4 411,4 506,4 555,4 658,4 565,4 448,4 381,4 072,3 785,3 440
1 - 4,11 743,11 381,11 696,12 168,12 571,13 058,13 517,13 893,14 527,15 282,15 794,17 276,17 185,16 918,16 621,16 445,16 565,16 912,17 186,17 285,17 354,16 856,17 405,16 919,16 236
5 - 9,18 627,16 696,15 473,14 346,13 812,13 632,13 749,14 073,14 273,14 720,15 385,16 519,17 166,18 219,19 049,19 535,19 713,19 767,19 522,19 396,19 338,19 770,20 987,21 256,21 170
10 - 14,21 873,21 327,20 742,20 109,19 067,17 700,16 192,14 978,13 861,13 283,12 986,13 624,13 920,14 066,14 425,14 934,15 629,16 364,17 306,18 093,18 650,19 230,20 546,20 653,20 629
15 - 19,24 149,23 467,22 658,22 390,21 778,21 242,20 848,20 389,19 742,18 724,17 413,16 293,15 189,14 349,13 772,13 549,13 629,14 040,14 507,14 972,15 363,16 520,19 151,20 530,21 674
20 - 24,30 376,28 895,27 511,26 337,24 758,24 037,23 629,23 794,24 190,23 809,23 272,22 804,22 184,21 335,20 242,19 060,17 861,16 896,15 917,15 437,15 401,16 339,18 347,19 128,20 061
25 - 29,30 790,31 589,32 819,33 209,32 566,31 602,30 476,29 901,29 284,28 728,28 266,28 230,27 644,27 443,27 039,26 300,25 866,25 604,24 969,24 035,23 145,21 739,22 443,21 813,21 680
30 - 34,25 237,24 383,24 794,26 111,28 190,30 200,32 096,33 895,34 674,34 501,33 797,33 274,32 449,31 527,30 827,30 602,30 761,30 526,30 614,30 295,30 151,28 339,29 624,29 536,28 828
35 - 39,25 976,25 168,24 997,24 631,23 807,23 544,23 854,24 771,26 271,28 434,30 280,32 585,33 749,33 931,33 641,32 911,32 164,31 716,31 163,30 641,30 751,29 154,30 483,30 875,30 768
40 - 44,25 778,23 900,22 947,23 266,23 979,24 412,24 531,24 716,24 394,23 674,23 476,24 352,24 916,26 049,27 927,29 698,31 200,32 438,32 755,32 545,32 076,30 634,31 520,31 318,30 693
45 - 49,29 717,28 819,27 940,26 953,25 669,24 439,23 242,22 609,22 983,23 773,24 138,24 706,24 618,24 111,23 399,23 125,23 356,24 013,25 299,27 168,28 973,30 392,32 660,33 313,33 188
50 - 54,30 196,28 796,28 135,27 861,27 815,27 640,27 463,26 961,26 133,25 039,23 874,23 207,22 453,22 540,23 217,23 717,23 781,23 733,23 406,22 751,22 525,22 677,24 245,25 774,27 863
55 - 59,26 403,27 671,28 496,28 262,27 805,27 903,26 984,26 462,26 261,26 257,26 196,26 536,25 973,25 031,23 945,22 919,21 943,21 366,21 627,22 359,22 826,22 634,23 046,23 016,22 575
60 - 64,18 559,19 250,20 342,21 917,23 418,23 948,25 513,26 291,26 132,25 645,25 778,25 410,24 930,24 684,24 700,24 702,24 617,24 123,23 357,22 347,21 442,20 329,20 285,20 764,21 619
65 - 69,17 048,16 444,15 952,15 862,16 006,16 582,17 432,18 568,20 012,21 293,21 731,23 669,24 437,24 212,23 815,23 857,22 994,22 631,22 479,22 557,22 547,22 525,22 306,21 744,20 992
70 - 74,16 955,16 483,16 250,15 898,15 314,14 801,14 439,14 021,14 040,14 273,14 820,15 820,16 810,18 173,19 432,19 774,21 054,21 688,21 535,21 217,21 314,20 530,20 359,20 454,20 676
75 - 79,14 176,13 995,13 865,13 664,13 606,13 640,13 544,13 425,13 195,12 749,12 426,12 263,11 987,12 032,12 292,12 855,13 587,14 382,15 509,16 524,16 807,17 881,18 442,18 422,18 252
80 - 84,5 837,6 877,7 938,8 975,9 610,9 776,9 884,9 892,9 893,9 951,10 114,10 201,10 178,10 097,9 822,9 482,9 323,9 231,9 329,9 619,9 972,10 377,10 998,11 932,12 806
85 - 89,3 832,3 385,2 914,2 561,2 682,3 165,3 865,4 438,5 137,5 517,5 696,5 938,6 012,6 057,6 157,6 328,6 380,6 393,6 329,6 200,5 946,5 870,5 870,5 934,6 183
90 - 94,1 264,1 345,1 423,1 447,1 465,1 320,1 164,997,883,996,1 267,1 620,1 914,2 209,2 404,2 434,2 564,2 580,2 607,2 706,2 744,2 693,2 710,2 728,2 713
95 a více,223,188,216,227,234,269,288,319,284,285,245,300,269,249,317,390,480,569,607,634,632,596,602,672,693
Celkem,381 862,373 272,370 505,369 559,367 729,366 757,366 680,368 533,370 592,371 399,371 371,378 965,378 327,377 508,377 440,377 028,377 973,379 527,380 681,381 346,382 405,379 466,396 101,400 566,402 739
