"","Nabídková cena prodeje bytů [Kč za m²]","Počet nabídek prodeje bytů za měsíc"
"01/2015","40 657","2 049"
"02/2015","41 385","1 818"
"03/2015","41 908","1 757"
"04/2015","41 713","1 696"
"05/2015","42 508","1 654"
"06/2015","43 240","1 736"
"07/2015","44 315","1 543"
"08/2015","44 796","1 518"
"09/2015","44 979","1 451"
"10/2015","45 364","1 396"
"11/2015","46 030","1 442"
"12/2015","46 516","1 204"
"01/2016","47 282","1 279"
"02/2016","47 455","1 282"
"03/2016","49 088","1 261"
"04/2016","49 323","1 308"
"05/2016","49 389","1 421"
"06/2016","49 388","1 328"
"07/2016","49 760","1 180"
"08/2016","49 367","1 226"
"09/2016","50 380","1 157"
"10/2016","50 418","1 299"
"11/2016","50 665","1 237"
"12/2016","50 912","1 114"
"01/2017","51 254","1 161"
"02/2017","51 598","1 203"
"03/2017","51 089","1 252"
"04/2017","52 049","1 164"
"05/2017","52 498","1 246"
"06/2017","53 199","1 220"
"07/2017","53 470","1 170"
"08/2017","53 518","1 221"
"09/2017","54 059","1 305"
"10/2017","54 164","1 347"
"11/2017","54 615","1 351"
"12/2017","56 213","1 197"
"01/2018","57 595","1 224"
"02/2018","58 155","1 299"
"03/2018","58 318","1 310"
"04/2018","58 613","1 333"
"05/2018","59 110","1 377"
"06/2018","59 319","1 370"
"07/2018","59 372","1 327"
"08/2018","59 608","1 325"
"09/2018","59 494","1 321"
"10/2018","58 518","1 504"
"11/2018","60 301","1 323"
"12/2018","60 994","1 155"
"01/2019","60 393","1 169"
"02/2019","62 078","1 152"
"03/2019","62 262","1 226"
"04/2019","62 640","1 169"
"05/2019","63 995","1 167"
"06/2019","64 316","1 078"
"07/2019","64 281","1 041"
"08/2019","66 002","1 030"
"09/2019","66 309","995"
"10/2019","66 259","1 000"
"11/2019","67 419","938"
"12/2019","68 645","811"
"01/2020","69 600","862"
"02/2020","71 424","818"
"03/2020","73 236","769"
"04/2020","73 854","811"
"05/2020","73 084","896"
"06/2020","74 071","975"
"07/2020","75 548","873"
"08/2020","76 434","836"
"09/2020","75 753","797"
"10/2020","77 489","940"
"11/2020","78 963","794"
"12/2020","80 857","673"
"01/2021","83 656","672"
"02/2021","86 928","678"
"03/2021","88 373","693"
"04/2021","89 112","672"
"05/2021","92 084","687"
"06/2021","96 939","680"
"07/2021","97 845","663"
"08/2021","97 637","673"
"09/2021","98 326","673"
"10/2021","101 944","617"
"11/2021","102 305","749"
"12/2021","104 629","716"
"01/2022","107 036","774"
"02/2022","108 134","818"
"03/2022","109 763","917"
"04/2022","109 748","998"
"05/2022","109 427","1 138"
"06/2022","109 450","1 257"
"07/2022","107 690","1 330"
"08/2022","106 520","1 452"
"09/2022","104 911","1 585"
"10/2022","103 137","1 615"
"11/2022","99 979","1 665"
"12/2022","99 489","1 484"
"01/2023","98226","1474"
"02/2023","97101","1374"
"03/2023","97119","1379"
"04/2023","98457","1269"
"05/2023","99180","1287"
"06/2023","100248","1201"
"07/2023","100253","1129"
"08/2023","101445","1163"
"09/2023","101688","1191"
"10/2023","102930","1233"
"11/2023","104170","1205"
"12/2023","104889","1032"
"01/2024","105424","1102"
"02/2024","106427","1098"
"03/2024","106930","1098"
"04/2024","109891","1119"
"05/2024","109766","1108"
"06/2024","113163","1069"
"07/2024","114954","1126"
"08/2024","114264","1103"
"09/2024","114284","1140"
"10/2024","115844","1187"
"11/2024","116924","1222"
"12/2024","119408","1091"
"01/2025","121399","1102"
"02/2025","121788","1124"
"03/2025","122328","1174"
"04/2025","123316","1194"
"05/2025","123572","1216"
"06/2025","123006","1285"
"07/2025","124581","1267"
"08/2025","125124","1287"
"09/2025","126036","1298"
"10/2025","131450","1482"
"11/2025","132179","1453"
"12/2025","134734","1325"
