"","Nabídková cena pronájmu bytů [Kč za m²]","Počet nabídek pronájmu bytů za měsíc"
"01/2015","184","2667"
"02/2015","186","2483"
"03/2015","187","2570"
"04/2015","184","2692"
"05/2015","183","2757"
"06/2015","182","3072"
"07/2015","183","3098"
"08/2015","186","2844"
"09/2015","192","2735"
"10/2015","191","1928"
"11/2015","194","1790"
"12/2015","196","1601"
"01/2016","195","1699"
"02/2016","199","1771"
"03/2016","197","1737"
"04/2016","196","1869"
"05/2016","197","2010"
"06/2016","199","1888"
"07/2016","200","1815"
"08/2016","203","1828"
"09/2016","206","1285"
"10/2016","203","1219"
"11/2016","205","1204"
"12/2016","207","976"
"01/2017","205","1283"
"02/2017","209","1208"
"03/2017","215","1383"
"04/2017","221","1268"
"05/2017","219","1442"
"06/2017","221","1544"
"07/2017","222","1421"
"08/2017","213","1443"
"09/2017","217","1210"
"10/2017","223","1221"
"11/2017","225","1343"
"12/2017","226","1048"
"01/2018","225","1395"
"02/2018","225","1498"
"03/2018","224","1397"
"04/2018","228","1455"
"05/2018","230","1601"
"06/2018","234","1529"
"07/2018","235","1507"
"08/2018","239","1309"
"09/2018","237","1086"
"10/2018","227","1304"
"11/2018","241","1127"
"12/2018","242","968"
"01/2019","240","1321"
"02/2019","238","1309"
"03/2019","235","1427"
"04/2019","243","1429"
"05/2019","247","1489"
"06/2019","250","1440"
"07/2019","252","1364"
"08/2019","255","1289"
"09/2019","258","1202"
"10/2019","255","1216"
"11/2019","254","1317"
"12/2019","257","1148"
"01/2020","258","1404"
"02/2020","260","1382"
"03/2020","264","1450"
"04/2020","262","1714"
"05/2020","259","1940"
"06/2020","257","2069"
"07/2020","262","1795"
"08/2020","273","1768"
"09/2020","274","1771"
"10/2020","268","1633"
"11/2020","261","1712"
"12/2020","263","1602"
"01/2021","262","1903"
"02/2021","264","1994"
"03/2021","262","2187"
"04/2021","262","2057"
"05/2021","262","2070"
"06/2021","268","1978"
"07/2021","277","1820"
"08/2021","284","1748"
"09/2021","286","1403"
"10/2021","284","1062"
"11/2021","287","1250"
"12/2021","291","1172"
"01/2022","289","1467"
"02/2022","290","1418"
"03/2022","300","1526"
"04/2022","308","1165"
"05/2022","308","1332"
"06/2022","314","1347"
"07/2022","322","1244"
"08/2022","327","1200"
"09/2022","325","964"
"10/2022","320","1071"
"11/2022","324","1243"
"12/2022","329","1119"
"01/2023","330","1473"
"02/2023","331","1595"
"03/2023","334","1775"
"04/2023","333","1786"
"05/2023","334","1958"
"06/2023","343","1992"
"07/2023","362","1865"
"08/2023","360","1767"
"09/2023","334","1315"
"10/2023","331","1331"
"11/2023","330","1449"
"12/2023","338","1226"
"01/2024","336","1496"
"02/2024","337","1565"
"03/2024","334","1617"
"04/2024","337","1701"
"05/2024","347","1821"
"06/2024","363","1737"
"07/2024","375","1610"
"08/2024","376","1440"
"09/2024","369","1269"
"10/2024","358","1184"
"11/2024","361","1104"
"12/2024","365","1012"
"01/2025","369","1325"
"02/2025","372","1338"
"03/2025","369","1417"
"04/2025","369","1452"
"05/2025","373","1581"
"06/2025","394","1635"
"07/2025","401","1558"
"08/2025","410","1451"
"09/2025","412","1432"
"10/2025","396","1389"
"11/2025","396","1433"
"12/2025","401","1195"
